feature_set,model,C,holdout_session,samples,accuracy,balanced_accuracy,macro_f1,threshold,cm00,cm01,cm10,cm11
lr8_shape,linear,0.001,glasses_highlight_v1,422,0.6184834123222749,0.6184834123222749,0.6164134527983378,-0.03697473816745698,146,65,96,115
lr8_shape,linear,0.001,glasses_highlight_v2,422,0.985781990521327,0.985781990521327,0.9857791157440691,-0.09929558276432787,205,6,0,211
lr8_shape,linear,0.001,glasses_test_v2,422,0.8767772511848341,0.8767772511848342,0.8767329513537805,-0.035391072354192414,181,30,22,189
lr8_shape,linear,0.001,noglasses_highlight_v1,291,0.5738831615120275,0.5825681560015146,0.5614487117160913,0.04363839361592985,108,31,93,59
lr8_shape,linear,0.001,noglasses_test_v2,402,1.0,1.0,1.0,-0.09814822380590703,211,0,0,191
lr8_shape,linear,0.003,glasses_highlight_v1,422,0.6113744075829384,0.6113744075829384,0.6088352324109242,-0.06589450969819978,146,65,99,112
lr8_shape,linear,0.003,glasses_highlight_v2,422,0.9881516587677726,0.9881516587677726,0.9881499952263013,-0.06647556328763757,206,5,0,211
lr8_shape,linear,0.003,glasses_test_v2,422,0.8625592417061612,0.8625592417061612,0.8622498367889062,-0.10917746655447255,172,39,19,192
lr8_shape,linear,0.003,noglasses_highlight_v1,291,0.584192439862543,0.5936671715259372,0.5693634195560447,0.10060332257812142,112,27,94,58
lr8_shape,linear,0.003,noglasses_test_v2,402,1.0,1.0,1.0,-0.14467112623864203,211,0,0,191
lr8_shape,linear,0.01,glasses_highlight_v1,422,0.5924170616113744,0.5924170616113744,0.5870747525315736,0.0,149,62,110,101
lr8_shape,linear,0.01,glasses_highlight_v2,422,0.9834123222748815,0.9834123222748815,0.9834077569017328,-0.07737236909220845,204,7,0,211
lr8_shape,linear,0.01,glasses_test_v2,422,0.8720379146919431,0.8720379146919431,0.8718969239071775,-0.09794428964530577,177,34,20,191
lr8_shape,linear,0.01,noglasses_highlight_v1,291,0.5532646048109966,0.5606777735706172,0.5442168674698795,-0.08098621429778806,101,38,92,60
lr8_shape,linear,0.01,noglasses_test_v2,402,1.0,1.0,1.0,-0.15969613213752928,211,0,0,191
lr8_shape,linear,0.03,glasses_highlight_v1,422,0.5876777251184834,0.5876777251184834,0.5818069983597594,0.0,149,62,112,99
lr8_shape,linear,0.03,glasses_highlight_v2,422,0.9834123222748815,0.9834123222748815,0.9834077569017328,-0.08203744822229359,204,7,0,211
lr8_shape,linear,0.03,glasses_test_v2,422,0.8744075829383886,0.8744075829383886,0.8742487026239887,-0.10511161149938805,177,34,19,192
lr8_shape,linear,0.03,noglasses_highlight_v1,291,0.5498281786941581,0.5573882998864067,0.5402510944679619,-0.08951650313733935,101,38,93,59
lr8_shape,linear,0.03,noglasses_test_v2,402,1.0,1.0,1.0,-0.14817241186490013,211,0,0,191
lr8_shape,poly2_linear,0.003,glasses_highlight_v1,422,0.5995260663507109,0.5995260663507109,0.5973532516951496,0.0,142,69,100,111
lr8_shape,poly2_linear,0.003,glasses_highlight_v2,422,1.0,1.0,1.0,0.11914252767881219,211,0,0,211
lr8_shape,poly2_linear,0.003,glasses_test_v2,422,0.9312796208530806,0.9312796208530806,0.9310375917817637,0.09118749710961394,209,2,27,184
lr8_shape,poly2_linear,0.003,noglasses_highlight_v1,291,0.5910652920962199,0.6020920106020446,0.5702798287522491,-0.1623830322012158,118,21,98,54
lr8_shape,poly2_linear,0.003,noglasses_test_v2,402,1.0,1.0,1.0,0.1235664331756264,211,0,0,191
lr8_shape,poly2_linear,0.01,glasses_highlight_v1,422,0.590047393364929,0.590047393364929,0.588102209960337,0.0,139,72,101,110
lr8_shape,poly2_linear,0.01,glasses_highlight_v2,422,1.0,1.0,1.0,0.0,211,0,0,211
lr8_shape,poly2_linear,0.01,glasses_test_v2,422,0.9170616113744076,0.9170616113744076,0.9168557162398743,0.0,204,7,28,183
lr8_shape,poly2_linear,0.01,noglasses_highlight_v1,291,0.6254295532646048,0.6368326391518364,0.6051167133520075,0.0,124,15,94,58
lr8_shape,poly2_linear,0.01,noglasses_test_v2,402,1.0,1.0,1.0,0.0,211,0,0,191
