feature_set,model,C,frame_feature_count,window_size,input_dim,hw_dim_or_terms,samples,sessions,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,micro_accuracy,false_closed_rate,missed_closed_rate,cm00,cm01,cm10,cm11,threshold_mean,support_vectors_mean,support_vectors_max,hw_note
base2,poly2_linear,0.01,2,15,30,495,1959,5,0.7304359863845866,0.7310261219809385,0.7228497494321465,0.7498723838693211,0.2624618514750763,0.23770491803278687,725,258,232,744,0.0,0.0,0,495 expanded linear terms; HLS/PS input path must change
avg2,poly2_linear,0.01,2,15,30,495,1959,5,0.7304359863845866,0.7310261219809385,0.7228497494321465,0.7498723838693211,0.2624618514750763,0.23770491803278687,725,258,232,744,0.0,0.0,0,495 expanded linear terms; HLS/PS input path must change
base2,poly2_linear,0.003,2,15,30,495,1959,5,0.7301990560219861,0.730780631169796,0.7243558776865571,0.7498723838693211,0.25228891149542215,0.24795081967213115,735,248,242,734,0.0,0.0,0,495 expanded linear terms; HLS/PS input path must change
avg2,poly2_linear,0.003,2,15,30,495,1959,5,0.7301990560219861,0.730780631169796,0.7243558776865571,0.7498723838693211,0.25228891149542215,0.24795081967213115,735,248,242,734,0.0,0.0,0,495 expanded linear terms; HLS/PS input path must change
base2,linear,0.0003,2,15,30,30,1959,5,0.7298188055180199,0.7296342222804444,0.7237911432492167,0.7529351710056151,0.2807731434384537,0.21311475409836064,707,276,208,768,0.0,0.0,0,"30 MACs/window, simple HLS update"
avg2,linear,0.0003,2,15,30,30,1959,5,0.7298188055180199,0.7296342222804444,0.7237911432492167,0.7529351710056151,0.2807731434384537,0.21311475409836064,707,276,208,768,0.0,0.0,0,"30 MACs/window, simple HLS update"
avg6_shape,linear,0.001,6,15,90,90,1959,5,0.726574485757561,0.72955138259061,0.713527568559845,0.7427258805513017,0.20244150559511698,0.3125,784,199,305,671,0.0,0.0,0,"90 MACs/window, simple HLS update"
avg6_shape,linear,0.03,6,15,90,90,1959,5,0.7251526848096936,0.7281295816427427,0.7129192315358127,0.7411944869831547,0.22380467955239064,0.29405737704918034,763,220,287,689,0.0,0.0,0,"90 MACs/window, simple HLS update"
avg4_dark,poly2_linear,0.003,4,15,60,1890,1959,5,0.7242064461490856,0.7277645979998242,0.6794851162971829,0.7355793772332823,0.31739572736520855,0.21106557377049182,671,312,206,770,0.0,0.0,0,1890 expanded linear terms; HLS/PS input path must change
avg4_dark,poly2_linear,0.001,4,15,60,1890,1959,5,0.7242536766502174,0.7276860203032386,0.6833879092934904,0.736089841755998,0.2980671414038657,0.22950819672131148,690,293,224,752,0.0,0.0,0,1890 expanded linear terms; HLS/PS input path must change
avg4_dark,poly2_linear,0.0003,4,15,60,1890,1959,5,0.7237797430009284,0.7271505569303599,0.6937145012964971,0.7355793772332823,0.24720244150559512,0.2817622950819672,740,243,275,701,0.0,0.0,0,1890 expanded linear terms; HLS/PS input path must change
base2,linear,0.001,2,15,30,30,1959,5,0.7245356497913035,0.7246731051178015,0.7199789592463531,0.74527820316488,0.2746693794506612,0.2346311475409836,713,270,229,747,0.0,0.0,0,"30 MACs/window, simple HLS update"
avg2,linear,0.001,2,15,30,30,1959,5,0.7245356497913035,0.7246731051178015,0.7199789592463531,0.74527820316488,0.2746693794506612,0.2346311475409836,713,270,229,747,0.0,0.0,0,"30 MACs/window, simple HLS update"
avg4_dark,linear,0.003,4,15,60,60,1959,5,0.720817250533379,0.7240273682774907,0.6905400255877714,0.7335375191424196,0.271617497456765,0.2612704918032787,716,267,255,721,0.0,0.0,0,"60 MACs/window, simple HLS update"
avg6_shape,linear,0.003,6,15,90,90,1959,5,0.7208872819660919,0.7238641787991409,0.7068740901135342,0.7366003062787136,0.19938962360122076,0.32786885245901637,787,196,320,656,0.0,0.0,0,"90 MACs/window, simple HLS update"
avg4_dark,poly2_linear,0.01,4,15,60,1890,1959,5,0.7197993518020879,0.7235503390752103,0.6700768617322199,0.7294538029606943,0.34587995930824006,0.19467213114754098,643,340,190,786,0.0,0.0,0,1890 expanded linear terms; HLS/PS input path must change
base2,poly2_linear,0.001,2,15,30,495,1959,5,0.7231137029952597,0.7235315190102843,0.718830186953461,0.7427258805513017,0.25737538148524924,0.257172131147541,730,253,251,725,0.0,0.0,0,495 expanded linear terms; HLS/PS input path must change
avg2,poly2_linear,0.001,2,15,30,495,1959,5,0.7231137029952597,0.7235315190102843,0.718830186953461,0.7427258805513017,0.25737538148524924,0.257172131147541,730,253,251,725,0.0,0.0,0,495 expanded linear terms; HLS/PS input path must change
base2,linear,0.003,2,15,30,30,1959,5,0.7225926846930151,0.7229790076644098,0.7197135080396608,0.7427258805513017,0.2614445574771109,0.2530737704918033,726,257,247,729,0.0,0.0,0,"30 MACs/window, simple HLS update"
avg2,linear,0.003,2,15,30,30,1959,5,0.7225926846930151,0.7229790076644098,0.7197135080396608,0.7427258805513017,0.2614445574771109,0.2530737704918033,726,257,247,729,0.0,0.0,0,"30 MACs/window, simple HLS update"
avg6_shape,linear,0.01,6,15,90,90,1959,5,0.7199394146675135,0.7229163115005626,0.7069382983958569,0.7355793772332823,0.20752797558494404,0.32172131147540983,779,204,314,662,0.0,0.0,0,"90 MACs/window, simple HLS update"
